,vendor_id,category
0,0,Restaurants
1,1,Restaurants
2,2,Restaurants
3,3,Restaurants
4,4,Restaurants
5,5,Restaurants
6,6,Restaurants
7,7,Restaurants
8,8,Restaurants
9,9,Restaurants
10,10,Restaurants
11,11,Restaurants
12,12,Restaurants
13,13,Restaurants
14,14,Restaurants
15,15,Restaurants
16,16,Restaurants
17,17,Restaurants
18,18,Restaurants
19,19,Sweets & Bakes
20,20,Sweets & Bakes
21,21,Restaurants
22,22,Restaurants
23,23,Restaurants
24,24,Restaurants
25,25,Restaurants
26,26,Restaurants
27,27,Restaurants
28,28,Sweets & Bakes
29,29,Restaurants
30,30,Restaurants
31,31,Restaurants
32,32,Restaurants
33,33,Restaurants
34,34,Restaurants
35,35,Restaurants
36,36,Restaurants
37,37,Restaurants
38,38,Restaurants
39,39,Restaurants
40,40,Restaurants
41,41,Restaurants
42,42,Restaurants
43,43,Restaurants
44,44,Restaurants
45,45,Restaurants
46,46,Sweets & Bakes
47,47,Restaurants
48,48,Sweets & Bakes
49,49,Restaurants
50,50,Restaurants
51,51,Restaurants
52,52,Restaurants
53,53,Sweets & Bakes
54,54,Restaurants
55,55,Sweets & Bakes
56,56,Restaurants
57,57,Restaurants
58,58,Restaurants
59,59,Restaurants
60,60,Sweets & Bakes
61,61,Restaurants
62,62,Sweets & Bakes
63,63,Restaurants
64,64,Restaurants
65,65,Restaurants
66,66,Restaurants
67,67,Restaurants
68,68,Restaurants
69,69,Restaurants
70,70,Restaurants
71,71,Restaurants
72,72,Restaurants
73,73,Restaurants
74,74,Sweets & Bakes
75,75,Restaurants
76,76,Restaurants
77,77,Sweets & Bakes
78,78,Restaurants
79,79,Restaurants
80,80,Restaurants
81,81,Restaurants
82,82,Restaurants
83,83,Sweets & Bakes
84,84,Restaurants
85,85,Restaurants
86,86,Restaurants
87,87,Restaurants
88,88,Restaurants
89,89,Restaurants
90,90,Restaurants
91,91,Restaurants
92,92,Restaurants
93,93,Restaurants
94,94,Restaurants
95,95,Restaurants
96,96,Restaurants
97,97,Restaurants
98,98,Restaurants
99,99,Restaurants
