,tag,tag_id
0,Arabic,0
1,Breakfast,1
2,Burgers,2
3,Desserts,3
4,Free Delivery,4
5,Grills,5
6,Lebanese,6
7,Salads,7
8,Sandwiches,8
9,Shawarma,9
10,Cakes,10
11,Crepes,11
12,Italian,12
13,Pasta,13
14,Pizzas,14
15,Soups,15
16,Indian,16
17,Fries,17
18,Mexican,18
19,American,19
20,Milkshakes,20
21,Asian,21
22,Healthy Food,22
23,Japanese,23
24,Sushi,24
25,Mojitos,25
26,Mandazi,26
27,Omani,27
28,Manakeesh,28
29,Kids meal,29
30,Donuts,30
31,Fresh Juices,31
32,Ice creams,32
33,Pancakes,33
34,Waffles,34
35,Mojitos ,35
36,Hot Dogs,36
37,Dimsum,37
38,Rice,38
39,Sweets,39
40,Steaks,40
41,Pizza,41
42,Mishkak,42
43,Biryani,43
44,Thali,44
45,Vegetarian,45
46,Pastry,46
47,Seafood,47
48,,48
49,Chinese,49
50,Thai,50
51,Coffee,51
52,Organic,52
53,Smoothies,53
54,Karak,54
55,Rolls,55
56,Hot Chocolate,56
57,Pastas,57
58,Combos,58
59,Bagels,59
60,Churros,60
61,Shuwa,61
62,Frozen yoghurt,62
63,Kushari,63
64,Spanish Latte,64
65,Family Meal,65
66,Kebabs,66
67,Cafe,67
68,Fatayers,68
